Zeilen,Knoten,Kanten,Gesamtzeit
100,1221,5203,3.586
200,2191,10079,8.594
300,3151,14776,18.163
400,4020,19349,29.048
500,4848,23734,43.896
600,5617,27804,56.628
700,6322,32453,63.857
800,6998,37473,89.329
900,7710,42311,99.883
1000,8477,47163,133.110
