Knoten,Kanten,Zeit
100,10000,0.050
200,40000,0.204
300,90000,0.452
400,160000,0.798
500,250000,1.252
600,360000,1.790
700,490000,2.491
800,640000,3.198
900,810000,4.028
1000,1000000,5.023
1250,1562500,8.485
1500,2250000,11.618
1750,3062500,15.845
2000,4000000,20.511
2250,5062500,26.196
2500,6250000,33.154
2750,7562500,41.931
3000,9000000,48.307
3500,12250000,65.791
4000,16000000,88.931
4500,20250000,120.146
5000,25000000,144.741
5500,30250000,200.700
