Zeilen,Knoten,Kanten,Zeit_NetworkX
500,1972,9522,0.089
1000,3305,18780,0.224
1500,4712,27582,0.305
2000,5848,36854,0.401
2500,6890,45814,0.562
3000,7648,55118,0.652
3500,8527,64122,0.758
4000,9412,73016,0.840
4500,10082,82346,0.907
5000,11016,91152,1.149
5500,11595,100366,1.215
6000,12377,109450,1.323
6500,13202,118508,1.459
7000,13832,127324,1.556
7500,14517,136384,1.593
8000,15339,145432,1.795
8500,15944,154784,1.909
9000,16426,163806,1.915
9500,16957,172974,2.356
10000,17856,182210,2.366
