Zeilen,Knoten,Kanten,Zeit_NetworkX
500,1972,9522,0.359
1000,3305,18780,0.829
1500,4712,27582,1.022
2000,5848,36854,1.373
2500,6890,45814,1.787
3000,7648,55118,2.092
3500,8527,64122,2.354
4000,9412,73016,2.510
4500,10082,82346,2.857
5000,11016,91152,3.386
5500,11595,100366,3.466
6000,12377,109450,3.903
6500,13202,118508,4.126
7000,13832,127324,4.432
7500,14517,136384,4.345
8000,15339,145432,4.583
8500,15944,154784,5.082
9000,16426,163806,5.557
9500,16957,172974,5.554
10000,17856,182210,6.034
