Knoten,Kanten,Zeit
100,10000,0.038
200,40000,0.151
300,90000,0.346
400,160000,0.639
500,250000,0.952
600,360000,1.380
700,490000,1.906
800,640000,2.516
900,810000,3.212
1000,1000000,3.835
1250,1562500,6.488
1500,2250000,8.829
1750,3062500,12.062
2000,4000000,15.551
2250,5062500,19.975
2500,6250000,25.946
2750,7562500,32.312
3000,9000000,37.855
3500,12250000,51.380
4000,16000000,66.504
4500,20250000,83.030
5000,25000000,116.366
5500,30250000,161.094
